file_id,region,condition,candidate_id,mechanism_cluster,dominant_mechanism,heldout_mean_rmse_mV,holdout_mean_pass_fraction,parameter,coordinate_type,value,lower_bound,upper_bound,below_lower_bound,above_upper_bound,within_lower_bound,within_upper_bound,bound_violation,range_source,range_basis,plausibility_status,identifiability_status,identifiability_source,identifiability_evidence,physiologically_interpretable,interpretation_guardrail
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,13.517363828352613,0.3466527547395403,gki,raw,1.527060159221693,1.0,300.0,False,False,True,True,none,broad_model_guardrail,Kir conductance kept within broad positive astrocyte-model scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,13.517363828352613,0.3466527547395403,eps,raw,0.0392840951347922,1e-05,0.2,False,False,True,True,none,broad_model_guardrail,extracellular exchange factor must be positive and sub-unity,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,13.517363828352613,0.3466527547395403,gl_a,raw,0.0662411243163617,0.0001,50.0,False,False,True,True,none,broad_model_guardrail,leak conductance kept positive and below dominant Kir scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,13.517363828352613,0.3466527547395403,zth,raw,1.3795577424944472,0.001,5.0,False,False,True,True,none,broad_model_guardrail,gating threshold kept positive on modeled potassium-deviation scale,within_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,13.517363828352613,0.3466527547395403,zs,raw,0.0029978626836734,0.0001,5.0,False,False,True,True,none,broad_model_guardrail,gating slope/scale kept positive on modeled potassium-deviation scale,within_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,13.517363828352613,0.3466527547395403,P_gap_eff,effective,0.0021014475048247,1e-08,0.005,False,False,True,True,none,effective_coordinate_guardrail,interpretable product d × pk for gap coupling,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,13.517363828352613,0.3466527547395403,gamma_t_eff,effective,0.0004778078440182,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,transport effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,13.517363828352613,0.3466527547395403,gamma_s_eff,effective,0.0003120480859813,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,syncytial effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,flat_unbounded,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,13.517363828352613,0.3466527547395403,volume_ratio_wa_wo,effective,0.078086972939458,0.001,1000.0,False,False,True,True,none,effective_coordinate_guardrail,cell/extracellular volume ratio effective coordinate,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,unknown,7.782389507575149,0.3430748720931917,gki,raw,1.527060159221693,1.0,300.0,False,False,True,True,none,broad_model_guardrail,Kir conductance kept within broad positive astrocyte-model scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,unknown,7.782389507575149,0.3430748720931917,eps,raw,0.0392840951347922,1e-05,0.2,False,False,True,True,none,broad_model_guardrail,extracellular exchange factor must be positive and sub-unity,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,unknown,7.782389507575149,0.3430748720931917,gl_a,raw,0.0662411243163617,0.0001,50.0,False,False,True,True,none,broad_model_guardrail,leak conductance kept positive and below dominant Kir scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence
