file_id,region,condition,candidate_id,mechanism_cluster,dominant_mechanism,mechanism_cluster_unconstrained,constrained_screen_type,comparison_kind,unconstrained_source,changed_by_constraints,changed_parameters,adjusted_parameters,n_changed_parameters,unconstrained_mean_trace_rmse_mV,unconstrained_holdout_rmse_mV,unconstrained_holdout_pass_fraction,current_na,step08_contract_id,simulation_status,failure_reason,constrained_trace_delta_rmse_mV,fit_degradation_fraction,constrained_holdout_rmse_mV,delta_holdout_rmse_mV,constrained_holdout_pass_fraction,constrained_holdout_pass_fraction_estimate,prediction_persists_under_constraints,dominant_mechanism_unconstrained,dominant_mechanism_constrained,mechanism_flux_fraction_delta_max,mechanism_changed_under_constraints,mechanism_cluster_constrained,mechanism_persists_under_constraints,mechanism_conclusion_persists,constrained_claim_status,constraint_action
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,unlabeled,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,False,,,0,13.517363828352613,13.517363828352613,0.3466527547395403,50,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.0,0.0,13.517363828352613,0.0,0.3466527547395403,0.3466527547395403,True,gap,gap,0.0,False,unlabeled,False,False,claim_downgraded_by_constraint_screen,not_required
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,unlabeled,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,False,,,0,13.517363828352613,13.517363828352613,0.3466527547395403,75,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.0,0.0,13.517363828352613,0.0,0.3466527547395403,0.3466527547395403,True,gap,gap,0.0,False,unlabeled,False,False,claim_downgraded_by_constraint_screen,not_required
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,unlabeled,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,False,,,0,13.517363828352613,13.517363828352613,0.3466527547395403,100,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.0,0.0,13.517363828352613,0.0,0.3466527547395403,0.3466527547395403,True,gap,gap,0.0,False,unlabeled,False,False,claim_downgraded_by_constraint_screen,not_required
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,unlabeled,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,False,,,0,13.517363828352613,13.517363828352613,0.3466527547395403,125,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.0,0.0,13.517363828352613,0.0,0.3466527547395403,0.3466527547395403,True,gap,gap,0.0,False,unlabeled,False,False,claim_downgraded_by_constraint_screen,not_required
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,unlabeled,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,False,,,0,13.517363828352613,13.517363828352613,0.3466527547395403,150,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.0,0.0,13.517363828352613,0.0,0.3466527547395403,0.3466527547395403,True,gap,gap,0.0,False,unlabeled,False,False,claim_downgraded_by_constraint_screen,not_required
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,unlabeled,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,False,,,0,13.517363828352613,13.517363828352613,0.3466527547395403,175,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.0,0.0,13.517363828352613,0.0,0.3466527547395403,0.3466527547395403,True,gap,gap,0.0,False,unlabeled,False,False,claim_downgraded_by_constraint_screen,not_required
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,unknown,unlabeled,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,False,,,0,7.782389507575149,7.782389507575149,0.3430748720931917,50,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.0,0.0,7.782389507575149,0.0,0.3430748720931917,0.3430748720931917,True,gap,gap,0.0,False,unlabeled,False,False,claim_downgraded_by_constraint_screen,not_required
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,unknown,unlabeled,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,False,,,0,7.782389507575149,7.782389507575149,0.3430748720931917,75,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.0,0.0,7.782389507575149,0.0,0.3430748720931917,0.3430748720931917,True,gap,gap,0.0,False,unlabeled,False,False,claim_downgraded_by_constraint_screen,not_required
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,unknown,unlabeled,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,False,,,0,7.782389507575149,7.782389507575149,0.3430748720931917,100,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.0,0.0,7.782389507575149,0.0,0.3430748720931917,0.3430748720931917,True,gap,gap,0.0,False,unlabeled,False,False,claim_downgraded_by_constraint_screen,not_required
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,unknown,unlabeled,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,False,,,0,7.782389507575149,7.782389507575149,0.3430748720931917,125,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.0,0.0,7.782389507575149,0.0,0.3430748720931917,0.3430748720931917,True,gap,gap,0.0,False,unlabeled,False,False,claim_downgraded_by_constraint_screen,not_required
